game_name,critic_score,user_score,publisher,release_date,num_of_critics,num_of_users,origin,platform,AAA
A-Men,67.0,75.0,Bandi Namco,2013,6.0,4.0,MetaCritic,PS3,1
A.R.E.S. Extinction Agenda,68.0,62.0,"EXTEND Interactive, LLC.",2010,6.0,48.0,MetaCritic,PC,0
A.R.E.S. Extinction Agenda EX,66.0,72.0,Aksys Games,2013,7.0,18.0,MetaCritic,X360,0
ABZU,83.0,69.0,505 Games,2016,19.0,188.0,MetaCritic,PC,0
ABZU,78.0,77.0,505 Games,2016,72.0,257.0,MetaCritic,PS4,0
ABZU,83.0,68.0,505 Games,2016,6.0,8.0,MetaCritic,X1,0
ABZU,79.54,,505 Games,2016,50.0,,GameRankings,PS4,0
AC/DC Live: Rock Band Track Pack,60.0,53.0,Electronic Arts,2008,12.0,14.0,MetaCritic,PS3,1
AC/DC Live: Rock Band Track Pack,63.0,49.0,MTV Games,2008,16.0,10.0,MetaCritic,X360,0
ADR1FT,56.0,51.0,505 Games,2016,21.0,26.0,MetaCritic,PS4,0
ADR1FT,67.09,,505 Games,2016,22.0,,GameRankings,PC,0
ADR1FT,64.0,52.0,505 Games,2016,40.0,53.0,MetaCritic,PC,0
AER: Memories of Old,69.0,66.0,Daedalic Entertainment,2017,18.0,16.0,MetaCritic,PC,0
AER: Memories of Old,74.0,72.0,Daedalic Entertainment,2017,8.0,11.0,MetaCritic,X1,0
AER: Memories of Old,70.0,66.0,Daedalic Entertainment,2017,10.0,18.0,MetaCritic,PS4,0
AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,63.0,73.0,Take-Two Interactive,2007,6.0,12.0,MetaCritic,PC,1
AI War: Fleet Command,80.0,83.0,"Arcen Games, LLC",2009,8.0,101.0,MetaCritic,PC,0
AMY,33.0,29.0,Lexis Numerique,2012,29.0,75.0,MetaCritic,PS3,0
AMY,27.24,,Lexis Numerique,2012,25.0,,GameRankings,PS3,0
AMY,25.81,,Lexis Numerique,2012,26.0,,GameRankings,X360,0
AMY,25.0,39.0,Lexis Numerique,2012,35.0,87.0,MetaCritic,X360,0
AO Tennis,44.0,75.0,Five Star Games,2018,4.0,35.0,MetaCritic,PS4,0
APB (All Points Bulletin),59.54,,Electronic Arts,2010,24.0,,GameRankings,PC,1
APB (All Points Bulletin),58.0,57.0,Electronic Arts,2010,42.0,290.0,MetaCritic,PC,1
APB: Reloaded,56.0,57.0,GamersFirst,2011,12.0,275.0,MetaCritic,PC,0
APOX,48.0,42.0,BlueGiant Interactive,2011,6.0,15.0,MetaCritic,PC,0
AR-K Episode 3: The Great Escape,78.0,82.0,Gato Salvaje Studio,2015,9.0,41.0,MetaCritic,PC,0
ARK: Survival Evolved,70.0,44.0,Studio Wildcard,2017,18.0,107.0,MetaCritic,PC,0
ARK: Survival Evolved,69.0,42.0,Studio Wildcard,2017,15.0,115.0,MetaCritic,PS4,0
ARK: Survival Evolved,69.0,43.0,Studio Wildcard,2017,6.0,27.0,MetaCritic,X1,0
ARKANOID Live!,58.0,36.0,Taito Corporation,2009,9.0,7.0,MetaCritic,X360,0
ARMS,77.32,,Nintendo,2017,56.0,,GameRankings,NS,1
ATV Offroad Fury,83.12,,SCEA,2001,43.0,,GameRankings,PS2,0
ATV Offroad Fury 2,81.02,,THQ,2002,39.0,,GameRankings,PS2,0
ATV Offroad Fury 3,76.84,,SCEA,2004,43.0,,GameRankings,PS2,0
ATV Offroad Fury 4,78.06,,SCEA,2006,36.0,,GameRankings,PS2,0
ATV Offroad Fury Pro,76.86,,SCEA,2006,29.0,,GameRankings,PSP,0
ATV Offroad Fury: Blazin' Trails,65.38,,SCEA,2005,39.0,,GameRankings,PSP,0
ATV Quad Power Racing 2,71.46,,Acclaim,2003,39.0,,GameRankings,PS2,0
ATV Quad Power Racing 2,72.26,,Acclaim,2003,38.0,,GameRankings,XBOX,0
ATV Quad Power Racing 2,71.08,,Acclaim,2003,26.0,,GameRankings,GC,0
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,81.0,72.0,Dejobaan Games,2009,15.0,95.0,MetaCritic,PC,0
Aaero,77.0,56.0,Mad Fellows Ltd,2017,8.0,7.0,MetaCritic,PS4,0
Aaero,80.0,78.0,Mad Fellows Ltd,2017,13.0,6.0,MetaCritic,X1,0
Aarklash: Legacy,72.0,78.0,Cyanide Studios,2013,13.0,104.0,MetaCritic,PC,0
Aaru's Awakening,59.0,28.0,Lumenox ehf,2015,18.0,114.0,MetaCritic,PC,0
Aaru's Awakening,59.0,18.0,Lumenox ehf,2015,6.0,132.0,MetaCritic,PS4,0
Abomination,64.12,,Eidos Interactive,1999,21.0,,GameRankings,PC,0
Absolute Drift,66.0,68.0,Funselektor Labs Inc.,2015,6.0,8.0,MetaCritic,PC,0
Absolute Drift: Zen Edition,78.0,73.0,Flippfly,2016,4.0,7.0,MetaCritic,PS4,0
Absolver,77.83,,Devolver Digital,2017,21.0,,GameRankings,PC,0
Absolver,75.0,61.0,Devolver Digital,2017,41.0,73.0,MetaCritic,PC,0
Absolver,69.0,59.0,Devolver Digital,2017,25.0,45.0,MetaCritic,PS4,0
Abyss Odyssey,70.0,62.0,Atlus,2014,7.0,12.0,MetaCritic,PS3,0
Abyss Odyssey,64.0,65.0,Atlus,2014,7.0,8.0,MetaCritic,X360,0
Abyss Odyssey,69.0,74.0,Atlus,2014,26.0,79.0,MetaCritic,PC,0
Abyss Odyssey: Extended Dream Edition,65.0,60.0,Atlus,2015,16.0,7.0,MetaCritic,PS4,0
Accel World vs. Sword Art Online: Millennium Twilight,64.0,59.0,Bandi Namco,2017,27.0,14.0,MetaCritic,PS4,1
Acceleration of SUGURI X-Edition,61.0,55.0,Sony,2011,10.0,13.0,MetaCritic,PS3,1
Accounting+,74.0,73.0,Crows Crows Crows,2017,6.0,15.0,MetaCritic,PS4,0
Ace Attorney Investigations: Miles Edgeworth,78.81,,Capcom,2010,35.0,,GameRankings,DS,0
Ace Banana,40.0,48.0,Oasis Games,2016,18.0,13.0,MetaCritic,PS4,0
Ace Combat 04: Shattered Skies,86.07,,Bandi Namco,2001,41.0,,GameRankings,PS2,1
Ace Combat 5: The Unsung War,84.81,,Bandi Namco,2004,56.0,,GameRankings,PS2,1
Ace Combat 6: Fires of Liberation,80.0,79.0,Bandi Namco,2007,54.0,106.0,MetaCritic,X360,1
Ace Combat 6: Fires of Liberation,81.59,,Bandi Namco,2007,58.0,,GameRankings,X360,1
Ace Combat Assault Horizon: Enhanced Edition,77.0,59.0,Bandi Namco,2013,14.0,167.0,MetaCritic,PC,1
Ace Combat Infinity,54.0,56.0,Bandi Namco,2014,14.0,62.0,MetaCritic,PS3,1
Ace Combat X: Skies of Deception,76.23,,SCE Korea,2006,29.0,,GameRankings,PSP,0
Ace Combat Zero: The Belkan War,75.47,,Bandi Namco,2006,51.0,,GameRankings,PS2,1
Ace Combat: Assault Horizon,78.0,62.0,Bandi Namco,2011,71.0,86.0,MetaCritic,X360,1
Ace Combat: Assault Horizon,75.93,,Bandi Namco,2011,21.0,,GameRankings,PS3,1
Ace Combat: Assault Horizon,78.54,,Bandi Namco,2011,55.0,,GameRankings,X360,1
Ace Combat: Assault Horizon,77.0,68.0,Bandi Namco,2011,28.0,89.0,MetaCritic,PS3,1
Ace Combat: Assault Horizon Legacy,72.28,,Bandi Namco,2011,25.0,,GameRankings,3DS,1
Ace Combat: Joint Assault,72.68,,Bandi Namco,2010,22.0,,GameRankings,PSP,1
Ace of Spades,49.0,52.0,Jagex Games Studio,2012,13.0,486.0,MetaCritic,PC,0
Aces of the Galaxy,71.0,73.0,Sierra Online,2008,27.0,12.0,MetaCritic,X360,0
Aces of the Galaxy,71.3,,Sierra Online,2008,27.0,,GameRankings,X360,0
Achron,54.0,78.0,Hazardous Software,2011,11.0,16.0,MetaCritic,PC,0
Achtung Panzer: Kharkov 1943,70.0,83.0,Paradox Interactive,2010,6.0,21.0,MetaCritic,PC,0
Act of Aggression,71.0,71.0,Focus Home Interactive,2015,37.0,96.0,MetaCritic,PC,0
Act of War: Direct Action,82.0,84.0,Atari,2005,43.0,45.0,MetaCritic,PC,0
Act of War: Direct Action,82.97,,Atari,2005,45.0,,GameRankings,PC,0
Act of War: High Treason,74.0,80.0,Atari,2006,8.0,26.0,MetaCritic,PC,0
Action Henk,74.0,75.0,RageSquid,2015,8.0,14.0,MetaCritic,PC,0
Action Henk,73.0,47.0,RageSquid,2016,11.0,9.0,MetaCritic,PS4,0
Action News Heroes,49.0,81.0,Krewe Studios,2016,4.0,7.0,MetaCritic,X1,0
Active Soccer 2 DX,53.0,72.0,The Fox Software,2016,8.0,13.0,MetaCritic,X1,0
Activision Anthology,75.67,,Activision,2002,21.0,,GameRankings,PS2,1
Actual Sunlight,77.0,65.0,Will O'Neill,2013,4.0,15.0,MetaCritic,PC,0
Adam's Venture Chronicles,49.0,68.0,Playlogic,2014,8.0,6.0,MetaCritic,PS3,0
Adam's Venture: Origins,48.0,62.0,Soedesco,2016,5.0,5.0,MetaCritic,X1,0
Adam's Venture: Origins,53.0,58.0,Soedesco,2016,7.0,19.0,MetaCritic,PS4,0
Adam's Venture: The Search for the Lost Garden,52.0,61.0,Iceberg Entertainment,2009,5.0,23.0,MetaCritic,PC,0
Adidas miCoach,54.0,59.0,505 Games,2012,6.0,8.0,MetaCritic,X360,0
Adrenalin Misfits,54.62,,Konami,2010,24.0,,GameRankings,X360,1
Advance Guardian Heroes,64.91,,Treasure,2004,31.0,,GameRankings,GBA,0
Advance Wars,92.38,,Nintendo,2001,44.0,,GameRankings,GBA,1
Advance Wars 2: Black Hole Rising,90.16,,Nintendo,2003,50.0,,GameRankings,GBA,1
Advance Wars: Days of Ruin,85.37,,Nintendo,2008,55.0,,GameRankings,DS,1
Advance Wars: Dual Strike,90.28,,Nintendo,2005,61.0,,GameRankings,DS,1
Advent Rising,70.0,86.0,Majesco Games,2005,19.0,128.0,MetaCritic,PC,0
Advent Rising,73.75,,Majesco,2005,24.0,,GameRankings,PC,0
Advent Rising,67.58,,Majesco,2005,56.0,,GameRankings,XBOX,0
Adventure Park,49.0,41.0,Bit Composer,2013,6.0,22.0,MetaCritic,PC,0
Adventure Pinball: Forgotten Island,60.0,70.0,Electronic Arts,2001,11.0,5.0,MetaCritic,PC,1
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,47.0,41.0,D3Publisher,2013,7.0,53.0,MetaCritic,X360,0
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,40.0,38.0,D3Publisher,2013,14.0,19.0,MetaCritic,PS3,0
Adventure Time: Finn and Jake Investigations,66.0,54.0,Little Orbit,2015,9.0,10.0,MetaCritic,X1,0
Adventure Time: The Secret of the Nameless Kingdom,58.0,75.0,Little Orbit,2014,5.0,4.0,MetaCritic,X360,0
Adventures of Pip,72.0,68.0,TicToc Games,2015,9.0,4.0,MetaCritic,PC,0
Adventures of Pip,74.0,68.0,TicToc Games,2015,8.0,6.0,MetaCritic,PS4,0
Aedis Eclipse: Generation of Chaos,65.0,,Idea Factory,2007,27.0,,GameRankings,PSP,0
Aegis Wing,58.0,70.0,Microsoft,2007,7.0,40.0,MetaCritic,X360,1
Aegis of Earth: Protonovus Assault,57.0,70.0,Aksys Games,2016,11.0,10.0,MetaCritic,PS4,0
Aeon Flux,68.48,,Majesco,2005,26.0,,GameRankings,XBOX,0
AereA,46.0,18.0,Soedesco,2017,10.0,5.0,MetaCritic,PS4,0
AereA,53.0,36.0,Soedesco,2017,5.0,5.0,MetaCritic,PC,0
AeroWings 2: Air Strike,69.48,,CRI,2000,23.0,,GameRankings,DC,0
Affordable Space Adventures,80.52,,KnapNok Games,2015,22.0,,GameRankings,WIIU,0
Afrika,63.0,62.0,Natsume,2009,12.0,36.0,MetaCritic,PS3,0
Afro Samurai,66.51,,Bandi Namco,2009,46.0,,GameRankings,PS3,1
Afro Samurai,69.24,,Bandi Namco,2009,53.0,,GameRankings,X360,1
Afro Samurai,65.0,63.0,Bandi Namco,2009,52.0,30.0,MetaCritic,PS3,1
Afro Samurai,65.0,62.0,Bandi Namco,2009,70.0,57.0,MetaCritic,X360,1
Afro Samurai 2: Revenge of Kuma Volume One,21.0,27.0,Versus Evil,2015,15.0,49.0,MetaCritic,PS4,0
After Burner Climax,75.0,66.0,Sega,2010,24.0,20.0,MetaCritic,PS3,0
After Burner Climax,72.0,50.0,Sega,2010,31.0,18.0,MetaCritic,X360,0
After Burner Climax,73.33,,Sega,2010,21.0,,GameRankings,X360,0
After Burner: Black Falcon,72.21,,Sega,2007,29.0,,GameRankings,PSP,0
Afterfall: InSanity,50.0,59.0,Nicolas Intoxicate,2011,20.0,148.0,MetaCritic,PC,0
Again: Interactive Crime Novel,54.32,,Tecmo,2010,22.0,,GameRankings,DS,0
Agarest: Generations of War,45.0,68.0,Ghostlight,2013,5.0,102.0,MetaCritic,PC,0
Agatha Christie's The ABC Murders,66.0,75.0,Microids,2016,7.0,8.0,MetaCritic,X1,0
Agatha Christie's The ABC Murders,67.0,64.0,Microids,2016,17.0,14.0,MetaCritic,PS4,0
Agatha Christie: And Then There Were None,65.36,,The Adventure Company,2005,33.0,,GameRankings,PC,0
Agatha Christie: And Then There Were None,54.96,,The Adventure Company,2008,24.0,,GameRankings,WII,0
Agatha Christie: And Then There Were None,68.0,76.0,The Adventure Company,2005,28.0,34.0,MetaCritic,PC,0
