game,AAA,critics,user,year
Arcana Heart 3,0,73.0,75.0,2011
Arcana Heart 3: LOVEMAX!!!!!,0,68.0,71.0,2014
Arcania: Fall of Setarrif,0,41.0,20.0,2011
Arcania: Gothic 4,0,63.0,40.0,2010
Arcania: The Complete Tale,0,42.0,49.0,2015
Arcanum: Of Steamworks and Magick Obscura,0,77.93,87.0,2001
ArchLord,0,42.0,60.0,2006
Archangel,0,69.0,68.0,2017
Archangel (2002),0,49.0,66.0,2002
ArcheAge,0,80.0,36.0,2014
Archer Maclean's Mercury,0,75.93,0.0,2005
Arctic Thunder,0,44.21,0.0,2001
Are You Smarter Than a 5th Grader: Make the Grade,0,51.0,46.0,2008
Area 51,0,78.54,60.0,2005
Arena Wars,0,74.57,78.0,2004
Arizona Sunshine,0,63.0,65.0,2017
Arkadian Warriors,0,61.65,59.0,2007
Arkanoid DS,0,63.17,0.0,2008
Arktika.1,0,71.0,85.0,2017
ArmA II,0,77.0,75.0,2009
ArmA II: Operation Arrowhead,0,73.0,81.0,2010
ArmA: Combat Operations,0,73.54,80.0,2007
ArmA: Queen's Gambit,0,67.0,63.0,2007
Arma 3,0,74.0,73.0,2013
Arma 3 Apex,0,74.0,64.0,2016
Arma Tactics,0,47.0,56.0,2013
Armada 2526,0,66.0,65.0,2009
Armadillo Run,0,88.0,82.0,2006
Armageddon Riders,0,62.0,70.0,2011
Armed and Dangerous,0,77.1,78.0,2003
Armello,0,75.0,70.0,2015
Armies of Exigo,1,71.48,80.0,2004
Armikrog,0,57.0,52.0,2015
Armored Core 2,0,74.77,0.0,2000
Armored Core 2: Another Age,0,73.67,0.0,2001
Armored Core 3,0,74.13,0.0,2002
Armored Core 4,0,65.19,72.0,2007
Armored Core V,1,68.0,72.0,2012
Armored Core: For Answer,1,62.0,78.0,2008
Armored Core: Formula Front - Extreme Battle,0,68.52,0.0,2005
Armored Core: Nine Breaker,0,58.24,0.0,2005
Armored Core: Verdict Day,1,66.0,75.0,2013
Army Corps of Hell,1,57.64,0.0,2012
Army Men: Air Attack 2,0,68.22,0.0,2001
Army Men: Green Rogue,0,37.86,0.0,2001
Army Men: RTS,0,72.85,85.0,2002
Army Men: Sarge's Heroes 2,0,55.99,0.0,2001
Army Men: Sarge's War,0,48.26,43.0,2004
Army of Two,1,72.0,76.0,2008
Army of Two: The 40th Day,1,73.0,73.0,2010
Army of Two: The Devil's Cartel,1,54.0,63.0,2013
Arslan: The Warriors of Legend,0,69.0,69.0,2016
Art of Fighting Anthology,0,65.37,0.0,2007
Art of Murder: Cards of Destiny,0,57.0,59.0,2010
Art of Murder: FBI Confidential,0,50.0,52.0,2008
Art of Murder: Hunt for the Puppeteer,0,56.0,61.0,2009
Arthur and the Invisibles: The Game,0,65.48,58.0,2007
Arx Fatalis,0,72.61,83.0,2002
Ascend: Hand of Kul,1,68.0,76.0,2013
Asemblance,0,61.0,52.0,2016
Ashen,0,61.42,0.0,2004
Asheron's Call,1,81.33,85.0,1999
Asheron's Call 2: Fallen Kings,1,83.34,79.0,2002
Asheron's Call 2: Legions,0,67.0,79.0,2005
Asheron's Call Dark Majesty,1,80.0,81.0,2001
Asheron's Call: Throne of Destiny,0,59.0,72.0,2005
Ashes Cricket,0,73.0,79.0,2017
Ashes Cricket 2009,0,69.0,67.0,2009
Ashes of the Singularity,0,69.0,69.0,2016
Ashes of the Singularity: Escalation,0,81.0,76.0,2016
Asphalt 3D,1,47.2,0.0,2011
Asphalt: Injection,1,50.58,0.0,2012
Asphalt: Urban GT,0,62.35,0.0,2004
Assassin's Creed,1,82.92,77.0,2007
Assassin's Creed Chronicles: China,1,69.0,59.0,2015
Assassin's Creed Chronicles: India,1,63.0,39.0,2016
Assassin's Creed Chronicles: Russia,1,62.0,49.0,2016
Assassin's Creed II,1,90.0,70.0,2010
Assassin's Creed II:  Bonfire of the Vanities,1,67.0,53.0,2010
Assassin's Creed II: Battle of Forli,1,58.0,62.0,2010
Assassin's Creed II: Bonfire of the Vanities,1,67.0,65.0,2010
Assassin's Creed III,1,84.0,63.0,2012
Assassin's Creed III - The Betrayal,1,67.0,51.0,2013
Assassin's Creed III - The Infamy,1,73.0,50.0,2013
Assassin's Creed III - The Redemption,1,63.0,57.0,2013
Assassin's Creed III: Liberation,1,71.74,0.0,2012
Assassin's Creed IV: Black Flag,1,88.0,79.0,2013
Assassin's Creed IV: Black Flag - Freedom Cry,1,71.0,65.0,2013
Assassin's Creed Liberation HD,1,62.0,57.0,2014
Assassin's Creed Origins,1,81.0,72.0,2017
Assassin's Creed Origins: The Curse of the Pharaohs,1,83.0,79.0,2018
Assassin's Creed Origins: The Hidden Ones,1,73.0,75.0,2018
Assassin's Creed Rogue,1,72.0,75.0,2015
Assassin's Creed Rogue Remastered,1,71.0,60.0,2018
Assassin's Creed Syndicate,1,76.0,69.0,2015
Assassin's Creed Syndicate: Jack the Ripper,1,72.0,65.0,2015
Assassin's Creed Unity,1,72.0,50.0,2014
Assassin's Creed Unity: Dead Kings,1,64.0,64.0,2015
Assassin's Creed: Altair's Chronicles,1,58.0,0.0,2008
Assassin's Creed: Bloodlines,1,63.63,0.0,2009
Assassin's Creed: Brotherhood,1,89.0,82.0,2011
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,1,75.0,74.0,2011
Assassin's Creed: Director's Cut Edition,1,79.0,75.0,2008
Assassin's Creed: Revelations,1,80.0,74.0,2011
Assassin's Creed: The Ezio Collection,1,72.0,76.0,2016
Assault Android Cactus,0,85.0,66.0,2016
Assault Heroes,0,79.0,74.0,2006
Assault Heroes 2,0,75.0,53.0,2008
Assault Suit Leynos,0,67.0,70.0,2016
Assetto Corsa,0,73.0,84.0,2014
Astebreed,0,86.0,73.0,2014
Asteroids & Deluxe,0,55.0,50.0,2007
Astonishia Story,0,50.76,0.0,2006
Astro Boy,0,57.64,0.0,2004
Astro Boy: Omega Factor,0,86.72,0.0,2004
AstroPop,0,78.0,54.0,2006
Asura's Wrath,0,71.0,74.0,2012
Atari Anniversary Edition,0,74.0,73.0,2001
Atari: 80 Classic Games in One,0,70.0,51.0,2003
Atelier Ayesha: The Alchemist of Dusk,0,70.0,66.0,2013
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,0,75.77,0.0,2016
Atelier Escha & Logy: Alchemists of the Dusk Sky,0,79.0,74.0,2014
Atelier Firis: The Alchemist and the Mysterious Journey,0,74.0,74.0,2017
Atelier Iris 2: The Azoth of Destiny,0,69.99,0.0,2006
Atelier Iris 3: Grand Phantasm,0,64.78,0.0,2007
Atelier Iris: Eternal Mana,0,77.74,0.0,2005
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,0,76.0,70.0,2018
Atelier Meruru: The Apprentice of Arland,0,66.0,68.0,2012
Atelier Rorona Plus: The Alchemist of Arland,0,80.0,82.0,2014
Atelier Rorona: The Alchemist of Arland,0,70.85,61.0,2010
Atelier Shallie Plus: Alchemists of the Dusk Sea,0,79.3,0.0,2017
